,Queries_Percent,AAP,ABP,ACP,AIP,AVP,CPP,PBP,QSP
0,0.00%,0.6525,0.8955,0.7262,0.8727,0.7617,0.8165,0.8328,0.8698
1,0.90%,0.6603,0.9018,0.7289,0.8744,0.7722,0.8264,0.8524,0.8672
2,1.80%,0.6638,0.9038,0.7336,0.8764,0.777,0.8296,0.8699,0.8764
3,2.70%,0.659,0.9057,0.7421,0.8756,0.7763,0.8387,0.8788,0.8788
4,3.60%,0.6497,0.903,0.7469,0.8793,0.7824,0.8451,0.8862,0.8841
5,4.50%,0.6597,0.905,0.75,0.8824,0.7864,0.8457,0.8895,0.8876
6,5.40%,0.6691,0.9087,0.7499,0.8836,0.7932,0.8441,0.8861,0.8873
7,6.30%,0.6783,0.9088,0.7551,0.8841,0.7957,0.8439,0.891,0.8904
8,7.20%,0.6809,0.9101,0.7583,0.8865,0.8034,0.8427,0.8946,0.8878
9,8.10%,0.6928,0.9125,0.7618,0.8882,0.8029,0.845,0.8952,0.888
10,9.00%,0.7,0.913,0.765,0.8908,0.8085,0.846,0.8992,0.8892
11,9.90%,0.7005,0.9152,0.7701,0.8963,0.8123,0.8502,0.9001,0.8855
12,10.80%,0.6969,0.918,0.7794,0.8995,0.8169,0.8505,0.9041,0.8921
13,11.70%,0.6967,0.9195,0.778,0.8994,0.8226,0.8515,0.9053,0.8958
14,12.60%,0.7015,0.9213,0.7792,0.9022,0.8265,0.8523,0.9094,0.8968
15,13.50%,0.7099,0.9223,0.7787,0.9041,0.8301,0.8568,0.9113,0.8991
16,14.40%,0.7042,0.9238,0.7801,0.9056,0.8322,0.8604,0.9114,0.8982
17,15.30%,0.7041,0.9254,0.782,0.9068,0.8376,0.86,0.9122,0.9075
18,16.20%,0.7087,0.9268,0.7848,0.9093,0.8399,0.8618,0.9122,0.9107
19,17.10%,0.718,0.927,0.786,0.9121,0.8448,0.8636,0.914,0.9132
20,18.00%,0.7252,0.9277,0.7922,0.9127,0.8482,0.8646,0.9132,0.9179
